File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF435EDS	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR353DFU	ChIP-seq	UBERON:0004648	esophagus muscularis mucosa	tissue	Homo sapiens										CTCF-human	DNA					False	2017-04-04	ENCODE				1							ENCFF001TDO, ENCFF294TXO	574385	ENCODE Processing Pipeline	efb628c836df34c3be5196192b76c4f2		https://www.encodeproject.org/files/ENCFF435EDS/@@download/ENCFF435EDS.bed.gz	hg19				released	moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption			
ENCFF600DCQ	bigWig	fold change over control	ENCSR353DFU	ChIP-seq	UBERON:0004648	esophagus muscularis mucosa	tissue	Homo sapiens										CTCF-human	DNA					False	2017-04-04	ENCODE				1							ENCFF386INF, ENCFF629CBG	1084749697	ENCODE Processing Pipeline	bc4c2dda605d32e5ec64e5cafb378cdc		https://www.encodeproject.org/files/ENCFF600DCQ/@@download/ENCFF600DCQ.bigWig	hg19				released	moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption			
ENCFF846QEI	bigBed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR353DFU	ChIP-seq	UBERON:0004648	esophagus muscularis mucosa	tissue	Homo sapiens										CTCF-human	DNA					False	2017-04-04	ENCODE				1							ENCFF435EDS	1028331	ENCODE Processing Pipeline	d6ff56f737f50ae61ae37c5813804711		https://www.encodeproject.org/files/ENCFF846QEI/@@download/ENCFF846QEI.bigBed	hg19				released	moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption			
ENCFF294TXO	bed narrowPeak	peaks and background as input for IDR	ENCSR353DFU	ChIP-seq	UBERON:0004648	esophagus muscularis mucosa	tissue	Homo sapiens										CTCF-human	DNA					False	2017-04-04	ENCODE				1							ENCFF386INF, ENCFF629CBG	6152257	ENCODE Processing Pipeline	3c3f3728aaf8c7ab0d4e3aa350b057dd		https://www.encodeproject.org/files/ENCFF294TXO/@@download/ENCFF294TXO.bed.gz	hg19				released	moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption			
ENCFF901QVS	bigWig	signal p-value	ENCSR353DFU	ChIP-seq	UBERON:0004648	esophagus muscularis mucosa	tissue	Homo sapiens										CTCF-human	DNA					False	2017-04-04	ENCODE				1							ENCFF288VXA, ENCFF827XZB	904796739	ENCODE Processing Pipeline	15f00a22d36980e7e2a7602111f57f22		https://www.encodeproject.org/files/ENCFF901QVS/@@download/ENCFF901QVS.bigWig	GRCh38				released	moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption			
ENCFF754CTN	bigWig	fold change over control	ENCSR353DFU	ChIP-seq	UBERON:0004648	esophagus muscularis mucosa	tissue	Homo sapiens										CTCF-human	DNA					False	2017-04-04	ENCODE				1							ENCFF288VXA, ENCFF827XZB	1093382227	ENCODE Processing Pipeline	ad3fbf7f66bb280e6ead4b4372176106		https://www.encodeproject.org/files/ENCFF754CTN/@@download/ENCFF754CTN.bigWig	GRCh38				released	moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption			
ENCFF577LSV	bed narrowPeak	peaks and background as input for IDR	ENCSR353DFU	ChIP-seq	UBERON:0004648	esophagus muscularis mucosa	tissue	Homo sapiens										CTCF-human	DNA					False	2017-04-04	ENCODE				1							ENCFF288VXA, ENCFF827XZB	6212368	ENCODE Processing Pipeline	8ac5e3a7df050fae8623476dd340c60a		https://www.encodeproject.org/files/ENCFF577LSV/@@download/ENCFF577LSV.bed.gz	GRCh38				released	moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption			
ENCFF396VZU	bigBed narrowPeak	peaks and background as input for IDR	ENCSR353DFU	ChIP-seq	UBERON:0004648	esophagus muscularis mucosa	tissue	Homo sapiens										CTCF-human	DNA					False	2017-04-04	ENCODE				1							ENCFF577LSV	11639283	ENCODE Processing Pipeline	65fc94d5dc63369b12921d0c63cf5d6b		https://www.encodeproject.org/files/ENCFF396VZU/@@download/ENCFF396VZU.bigBed	GRCh38				released	moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption			
ENCFF897UFD	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR353DFU	ChIP-seq	UBERON:0004648	esophagus muscularis mucosa	tissue	Homo sapiens										CTCF-human	DNA					False	2017-04-04	ENCODE				1							ENCFF419RSJ, ENCFF577LSV	595143	ENCODE Processing Pipeline	6af4db010840ed4cec4fd6a40ba85a62		https://www.encodeproject.org/files/ENCFF897UFD/@@download/ENCFF897UFD.bed.gz	GRCh38				released	moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption			
ENCFF141KNK	bigBed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR353DFU	ChIP-seq	UBERON:0004648	esophagus muscularis mucosa	tissue	Homo sapiens										CTCF-human	DNA					False	2017-04-04	ENCODE				1							ENCFF897UFD	1061644	ENCODE Processing Pipeline	a2e826903b0b85e33aba3252cadc8a3f		https://www.encodeproject.org/files/ENCFF141KNK/@@download/ENCFF141KNK.bigBed	GRCh38				released	moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption			
ENCFF002ADK	fastq	reads	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				1	1	48		single-ended				1994901181	Ross Hardison, PennState	913ad45f406193014a6ce41fbf87c51f		https://www.encodeproject.org/files/ENCFF002ADK/@@download/ENCFF002ADK.fastq.gz			Illumina HiSeq 2000	/files/ENCFF001ZYW/	released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF002ADL	bigWig	signal	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				1	1							4516225950	Ross Hardison, PennState	9fe4624297cd9e8f2c7b4ba019026121		https://www.encodeproject.org/files/ENCFF002ADL/@@download/ENCFF002ADL.bigWig	mm9				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, missing derived_from, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF002ADM	fastq	reads	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				2	1	48		single-ended				1982912528	Ross Hardison, PennState	a67834f4970f6c561be75aa305c2c135		https://www.encodeproject.org/files/ENCFF002ADM/@@download/ENCFF002ADM.fastq.gz			Illumina HiSeq 2000	/files/ENCFF001ZYX/	released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF002ADN	bigWig	signal	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				2	1							4652265522	Ross Hardison, PennState	695d247b28c6ac0ab2d2e5029233c69d		https://www.encodeproject.org/files/ENCFF002ADN/@@download/ENCFF002ADN.bigWig	mm9				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, missing derived_from, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF002ADO	bigWig	signal	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE												4800422599	Ross Hardison, PennState	6f7ba022ac2c7658131608e64482eb07		https://www.encodeproject.org/files/ENCFF002ADO/@@download/ENCFF002ADO.bigWig	mm9				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, missing derived_from, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF002ADP	bam	alignments	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				1							ENCFF002ADK	2243728860	Ross Hardison, PennState	b8ff51239e79a47a91993c15b33e1c08		https://www.encodeproject.org/files/ENCFF002ADP/@@download/ENCFF002ADP.bam	mm9				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF002ADQ	bam	alignments	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				2							ENCFF002ADM	2248155130	Ross Hardison, PennState	14201d3c95cd78e5c85de401490fc1b9		https://www.encodeproject.org/files/ENCFF002ADQ/@@download/ENCFF002ADQ.bam	mm9				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF002ADR	bigBed bed9	peaks	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE												341945	Ross Hardison, PennState	18a549617f5a9339ac6f235e2b17d883		https://www.encodeproject.org/files/ENCFF002ADR/@@download/ENCFF002ADR.bigBed	mm9				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, missing derived_from, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF002ADS	bigBed bed9	peaks	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE												218368	Ross Hardison, PennState	56943eeda83fff5f84caef368f3dd5d3		https://www.encodeproject.org/files/ENCFF002ADS/@@download/ENCFF002ADS.bigBed	mm9				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, missing derived_from, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF002ADT	bam	alignments	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE												4475569314	Ross Hardison, PennState	1993e0c39414fc5888118772ccaaeab4		https://www.encodeproject.org/files/ENCFF002ADT/@@download/ENCFF002ADT.bam	mm9				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, missing derived_from, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF679LQY	bed bed9	peaks	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE											ENCFF002ADS	72075	ENCODE Consortium	6e0616d7ae014bb73d77737edd002f51		https://www.encodeproject.org/files/ENCFF679LQY/@@download/ENCFF679LQY.bed.gz	mm9				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF675MLK	bed bed9	peaks	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE											ENCFF002ADR	89346	ENCODE Consortium	887d20cec92d5327c3881356e1dc553a		https://www.encodeproject.org/files/ENCFF675MLK/@@download/ENCFF675MLK.bed.gz	mm9				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF967JEP	bam	unfiltered alignments	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				1			48				ENCFF002ADK, ENCFF018NEO	2419817528	ENCODE Processing Pipeline	a92d7d8cec8e474f7ae1de1c8d41dd0b		https://www.encodeproject.org/files/ENCFF967JEP/@@download/ENCFF967JEP.bam	mm10				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF524MXM	bam	unfiltered alignments	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				2			48				ENCFF002ADM, ENCFF018NEO	2412109522	ENCODE Processing Pipeline	9bab74594798502ae45f456949638240		https://www.encodeproject.org/files/ENCFF524MXM/@@download/ENCFF524MXM.bam	mm10				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF499OEU	bam	alignments	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				1			48				ENCFF002ADK, ENCFF018NEO	1361538084	ENCODE Processing Pipeline	8b81e8e11912bb703fbade9817beee30		https://www.encodeproject.org/files/ENCFF499OEU/@@download/ENCFF499OEU.bam	mm10				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF464OJW	bam	alignments	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				2			48				ENCFF002ADM, ENCFF018NEO	1485166553	ENCODE Processing Pipeline	610792b19b7adcda3a97a95da9dbc80b		https://www.encodeproject.org/files/ENCFF464OJW/@@download/ENCFF464OJW.bam	mm10				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF384CZR	bigBed narrowPeak	peaks and background as input for IDR	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				2							ENCFF436NIK	13524347	ENCODE Processing Pipeline	47077de0491c728619e2816a785954a1		https://www.encodeproject.org/files/ENCFF384CZR/@@download/ENCFF384CZR.bigBed	mm10				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF458BGT	bed narrowPeak	optimal idr thresholded peaks	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				1, 2							ENCFF034VDK, ENCFF436NIK, ENCFF547MET, ENCFF762AWW	414781	ENCODE Processing Pipeline	90b68db67e07d20a12671ce2763be882		https://www.encodeproject.org/files/ENCFF458BGT/@@download/ENCFF458BGT.bed.gz	mm10				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF303VMI	bigWig	signal p-value	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				1, 2							ENCFF464OJW, ENCFF499OEU, ENCFF549GXA, ENCFF717OFJ	1123336218	ENCODE Processing Pipeline	ebd593d1ffd75760d854ebf272787a00		https://www.encodeproject.org/files/ENCFF303VMI/@@download/ENCFF303VMI.bigWig	mm10				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF034VDK	bed narrowPeak	peaks and background as input for IDR	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				1, 2							ENCFF464OJW, ENCFF499OEU, ENCFF549GXA, ENCFF717OFJ	5157825	ENCODE Processing Pipeline	08e48234abf7659e9bf88d6bbe2b26ec		https://www.encodeproject.org/files/ENCFF034VDK/@@download/ENCFF034VDK.bed.gz	mm10				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF649NXY	bigBed narrowPeak	conservative idr thresholded peaks	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				1, 2							ENCFF152KNZ	360597	ENCODE Processing Pipeline	7db41e46be6d1df732e83435869fe8c2		https://www.encodeproject.org/files/ENCFF649NXY/@@download/ENCFF649NXY.bigBed	mm10				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF206IDS	bigWig	fold change over control	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				2							ENCFF464OJW, ENCFF549GXA	618820289	ENCODE Processing Pipeline	e01221b679e7a28a038f6c9523e9369c		https://www.encodeproject.org/files/ENCFF206IDS/@@download/ENCFF206IDS.bigWig	mm10				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF175WAA	bigBed narrowPeak	peaks and background as input for IDR	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				1, 2							ENCFF034VDK	8622559	ENCODE Processing Pipeline	67dbd3038518c1ddb74a64a2879110c3		https://www.encodeproject.org/files/ENCFF175WAA/@@download/ENCFF175WAA.bigBed	mm10				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF762AWW	bed narrowPeak	peaks and background as input for IDR	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				1							ENCFF499OEU, ENCFF717OFJ	5770162	ENCODE Processing Pipeline	51ac443f9fc37dd7e378f3c210839292		https://www.encodeproject.org/files/ENCFF762AWW/@@download/ENCFF762AWW.bed.gz	mm10				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF488HXY	bigWig	signal p-value	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				1							ENCFF499OEU, ENCFF717OFJ	605729310	ENCODE Processing Pipeline	5307c8e6520785c2dbe8be05d282e6c3		https://www.encodeproject.org/files/ENCFF488HXY/@@download/ENCFF488HXY.bigWig	mm10				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF325XMK	bigWig	signal p-value	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				2							ENCFF464OJW, ENCFF549GXA	560018933	ENCODE Processing Pipeline	8c091b80291072aee5a985631be93862		https://www.encodeproject.org/files/ENCFF325XMK/@@download/ENCFF325XMK.bigWig	mm10				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF086XQV	bigWig	fold change over control	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				1							ENCFF499OEU, ENCFF717OFJ	625968857	ENCODE Processing Pipeline	8995fa841a6cad7c638b72d0d60fe5f8		https://www.encodeproject.org/files/ENCFF086XQV/@@download/ENCFF086XQV.bigWig	mm10				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF436NIK	bed narrowPeak	peaks and background as input for IDR	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				2							ENCFF464OJW, ENCFF549GXA	6026105	ENCODE Processing Pipeline	2e99a61c820b90d8b8f4c0b209cf120c		https://www.encodeproject.org/files/ENCFF436NIK/@@download/ENCFF436NIK.bed.gz	mm10				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF341JZR	bigBed narrowPeak	peaks and background as input for IDR	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				1							ENCFF762AWW	11276960	ENCODE Processing Pipeline	2b162dc7ba4c4340be204f6f2487dc89		https://www.encodeproject.org/files/ENCFF341JZR/@@download/ENCFF341JZR.bigBed	mm10				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
ENCFF888LEV	bigBed narrowPeak	optimal idr thresholded peaks	ENCSR194GNY	ChIP-seq	UBERON:0002107	liver	tissue	Mus musculus										GATA4-mouse	DNA		see document	see document		False	2014-03-14	ENCODE				1, 2							ENCFF458BGT	874049	ENCODE Processing Pipeline	f07095f7adc89d5a72ad309a4823d54f		https://www.encodeproject.org/files/ENCFF888LEV/@@download/ENCFF888LEV.bigBed	mm10				released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample, experiment not submitted to GEO	insufficient replicate concordance	
