File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF104GWF	bed narrowPeak	peaks	ENCSR486QMV	ChIP-seq	UBERON:0001873	caudate nucleus	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF246NXA, ENCFF494JKR	1360100	ENCODE Processing Pipeline	607140a5d7daedf1ab89a568b4fc2c8d		https://www.encodeproject.org/files/ENCFF104GWF/@@download/ENCFF104GWF.bed.gz	hg19				released	s3://encode-public/2018/01/20/adc1d6e5-f4e4-4d31-b8de-dfac8b578869/ENCFF104GWF.bed.gz	low read length			
ENCFF810BVK	bed narrowPeak	peaks	ENCSR795VEN	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF614QEG, ENCFF984BBU	841001	ENCODE Processing Pipeline	c9499d872f24fe22072ff6646f74667b		https://www.encodeproject.org/files/ENCFF810BVK/@@download/ENCFF810BVK.bed.gz	hg19				released	s3://encode-public/2017/03/22/2e8a043f-b075-494c-8aed-60fe6afe2667/ENCFF810BVK.bed.gz	low read length			
ENCFF065NRN	bed narrowPeak	stable peaks	ENCSR795VEN	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF810BVK	840350	ENCODE Processing Pipeline	f4016f16696567e36a5c852152655090		https://www.encodeproject.org/files/ENCFF065NRN/@@download/ENCFF065NRN.bed.gz	hg19				released	s3://encode-public/2017/03/22/4960740c-18e7-4bb1-b433-2c5b4b19f719/ENCFF065NRN.bed.gz	low read length			
ENCFF936TGG	bed narrowPeak	peaks	ENCSR795VEN	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF259WHE, ENCFF967BVH	841946	ENCODE Processing Pipeline	beeeae0ddaee070ea07a759e09eae4c3		https://www.encodeproject.org/files/ENCFF936TGG/@@download/ENCFF936TGG.bed.gz	GRCh38				released	s3://encode-public/2017/03/22/dac057f9-e6f7-4505-8528-3da96a2a6f35/ENCFF936TGG.bed.gz	low read length			
ENCFF119GOD	bed narrowPeak	stable peaks	ENCSR795VEN	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF936TGG	842670	ENCODE Processing Pipeline	93d4dc5a2b868a730379fc53ea7121d2		https://www.encodeproject.org/files/ENCFF119GOD/@@download/ENCFF119GOD.bed.gz	GRCh38				released	s3://encode-public/2017/03/22/390a9c51-4c14-4182-a35a-d35ed981ab51/ENCFF119GOD.bed.gz	low read length			
ENCFF802UZO	bed narrowPeak	peaks	ENCSR258UUX	ChIP-seq	UBERON:0000996	vagina	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1							ENCFF413FRL, ENCFF841YDH	994305	ENCODE Processing Pipeline	02ec56e333e7373240dabd51ec3f1624		https://www.encodeproject.org/files/ENCFF802UZO/@@download/ENCFF802UZO.bed.gz	GRCh38				released	s3://encode-public/2017/02/01/68c991c7-3a21-49e3-990d-691b1cf1157b/ENCFF802UZO.bed.gz	low read depth	biological replicates with identical biosample		
ENCFF594HWJ	bed narrowPeak	peaks	ENCSR258UUX	ChIP-seq	UBERON:0000996	vagina	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				2							ENCFF183YAH, ENCFF413FRL	656525	ENCODE Processing Pipeline	bea9043c64420c8f02c8055367ea2f55		https://www.encodeproject.org/files/ENCFF594HWJ/@@download/ENCFF594HWJ.bed.gz	GRCh38				released	s3://encode-public/2017/02/01/a0846f20-4954-4868-b602-0b53f5dc345c/ENCFF594HWJ.bed.gz	low read depth	biological replicates with identical biosample		
ENCFF303IWT	bed narrowPeak	peaks	ENCSR258UUX	ChIP-seq	UBERON:0000996	vagina	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1							ENCFF190GAC, ENCFF587VBR	998973	ENCODE Processing Pipeline	b1fd82754f837df1a3da810b05dd157e		https://www.encodeproject.org/files/ENCFF303IWT/@@download/ENCFF303IWT.bed.gz	hg19				released	s3://encode-public/2017/02/01/df227e1c-e7e4-4541-a42c-e6f1b01459ed/ENCFF303IWT.bed.gz	low read depth	biological replicates with identical biosample		
ENCFF575EYM	bed narrowPeak	peaks	ENCSR258UUX	ChIP-seq	UBERON:0000996	vagina	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				2							ENCFF190GAC, ENCFF797JGI	665551	ENCODE Processing Pipeline	c3258265200dcd5c8ecd384de7c772e9		https://www.encodeproject.org/files/ENCFF575EYM/@@download/ENCFF575EYM.bed.gz	hg19				released	s3://encode-public/2017/02/01/04557207-baec-4a9c-9863-048d27025978/ENCFF575EYM.bed.gz	low read depth	biological replicates with identical biosample		
ENCFF851DNH	bed narrowPeak	replicated peaks	ENCSR258UUX	ChIP-seq	UBERON:0000996	vagina	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1, 2							ENCFF594HWJ, ENCFF719GTO, ENCFF802UZO	809927	ENCODE Processing Pipeline	a91ae9a4857c36d86335147d72b4014d		https://www.encodeproject.org/files/ENCFF851DNH/@@download/ENCFF851DNH.bed.gz	GRCh38				released	s3://encode-public/2017/02/01/532bb7d9-991a-410d-97a8-89c78da843e8/ENCFF851DNH.bed.gz	low read depth	biological replicates with identical biosample		
ENCFF244OLU	bed narrowPeak	peaks	ENCSR258UUX	ChIP-seq	UBERON:0000996	vagina	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1, 2							ENCFF190GAC, ENCFF587VBR, ENCFF797JGI	843897	ENCODE Processing Pipeline	12cd914ceefd778425a8a83671095dc7		https://www.encodeproject.org/files/ENCFF244OLU/@@download/ENCFF244OLU.bed.gz	hg19				released	s3://encode-public/2017/02/01/de6c143f-8e7d-4344-bac1-29927cd424eb/ENCFF244OLU.bed.gz	low read depth	biological replicates with identical biosample		
ENCFF719GTO	bed narrowPeak	peaks	ENCSR258UUX	ChIP-seq	UBERON:0000996	vagina	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1, 2							ENCFF183YAH, ENCFF413FRL, ENCFF841YDH	894869	ENCODE Processing Pipeline	e15f032e6134492a0828b62ee4b430af		https://www.encodeproject.org/files/ENCFF719GTO/@@download/ENCFF719GTO.bed.gz	GRCh38				released	s3://encode-public/2017/02/01/3c2b00cb-544f-438e-aa49-8e0a5601cfeb/ENCFF719GTO.bed.gz	low read depth	biological replicates with identical biosample		
ENCFF661YCK	bed narrowPeak	replicated peaks	ENCSR258UUX	ChIP-seq	UBERON:0000996	vagina	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1, 2							ENCFF244OLU, ENCFF303IWT, ENCFF575EYM	811148	ENCODE Processing Pipeline	ac3baf63866db54f30a346f5dd8965b2		https://www.encodeproject.org/files/ENCFF661YCK/@@download/ENCFF661YCK.bed.gz	hg19				released	s3://encode-public/2017/02/01/eb90b723-b120-4785-b411-4afe82cc97b9/ENCFF661YCK.bed.gz	low read depth	biological replicates with identical biosample		
ENCFF779MAU	bed narrowPeak	peaks	ENCSR416AUW	ChIP-seq	UBERON:0008367	breast epithelium	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1							ENCFF332TQJ, ENCFF636AYA	990821	ENCODE Processing Pipeline	1b79cc8491e00721e4afa8ddc5557dcd		https://www.encodeproject.org/files/ENCFF779MAU/@@download/ENCFF779MAU.bed.gz	GRCh38				released	s3://encode-public/2016/11/01/be6f1a8d-a0d2-4c5b-8c60-a12d82df814e/ENCFF779MAU.bed.gz	moderate library complexity, mild to moderate bottlenecking	biological replicates with identical biosample		
ENCFF549SMQ	bed narrowPeak	peaks	ENCSR416AUW	ChIP-seq	UBERON:0008367	breast epithelium	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1, 2							ENCFF246OTC, ENCFF332TQJ, ENCFF636AYA	1060915	ENCODE Processing Pipeline	334e5422182c0eec9d9956e63be94026		https://www.encodeproject.org/files/ENCFF549SMQ/@@download/ENCFF549SMQ.bed.gz	GRCh38				released	s3://encode-public/2016/11/01/15060493-f0a4-4446-90cb-053513fb5638/ENCFF549SMQ.bed.gz	moderate library complexity, mild to moderate bottlenecking	biological replicates with identical biosample		
ENCFF251VVT	bed narrowPeak	peaks	ENCSR416AUW	ChIP-seq	UBERON:0008367	breast epithelium	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				2							ENCFF246OTC, ENCFF636AYA	1225034	ENCODE Processing Pipeline	c38c294fde8005c0bee42f3952f3b8a6		https://www.encodeproject.org/files/ENCFF251VVT/@@download/ENCFF251VVT.bed.gz	GRCh38				released	s3://encode-public/2016/11/01/59271833-9251-486a-90cf-849d6e98cecf/ENCFF251VVT.bed.gz	moderate library complexity, mild to moderate bottlenecking	biological replicates with identical biosample		
ENCFF369QNB	bed narrowPeak	replicated peaks	ENCSR416AUW	ChIP-seq	UBERON:0008367	breast epithelium	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1, 2							ENCFF251VVT, ENCFF549SMQ, ENCFF779MAU	1225006	ENCODE Processing Pipeline	2e20f1e6ecbb8570cc9b49d68a6d452f		https://www.encodeproject.org/files/ENCFF369QNB/@@download/ENCFF369QNB.bed.gz	GRCh38				released	s3://encode-public/2016/11/01/385c9eeb-0b9f-42bf-98f7-7d6ba96676a3/ENCFF369QNB.bed.gz	moderate library complexity, mild to moderate bottlenecking	biological replicates with identical biosample		
ENCFF744CHB	bed narrowPeak	peaks	ENCSR416AUW	ChIP-seq	UBERON:0008367	breast epithelium	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				2							ENCFF535AIZ, ENCFF647UET	1220415	ENCODE Processing Pipeline	789b72f11a320d0911fb432aef274b6d		https://www.encodeproject.org/files/ENCFF744CHB/@@download/ENCFF744CHB.bed.gz	hg19				released	s3://encode-public/2016/11/03/2724acfe-e4b2-427a-9400-5f57b2883101/ENCFF744CHB.bed.gz	moderate library complexity, mild to moderate bottlenecking	biological replicates with identical biosample		
ENCFF663KGP	bed narrowPeak	peaks	ENCSR416AUW	ChIP-seq	UBERON:0008367	breast epithelium	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1							ENCFF133DTX, ENCFF535AIZ	988013	ENCODE Processing Pipeline	a8c8348cd61c78d2e196e72b93283e3d		https://www.encodeproject.org/files/ENCFF663KGP/@@download/ENCFF663KGP.bed.gz	hg19				released	s3://encode-public/2016/11/03/e171ab95-7af1-4c5c-8f92-f88671b5e277/ENCFF663KGP.bed.gz	moderate library complexity, mild to moderate bottlenecking	biological replicates with identical biosample		
ENCFF725YRX	bed narrowPeak	peaks	ENCSR416AUW	ChIP-seq	UBERON:0008367	breast epithelium	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1, 2							ENCFF133DTX, ENCFF535AIZ, ENCFF647UET	1057700	ENCODE Processing Pipeline	a8c8dd262de6a9bc0dd5aa5846141633		https://www.encodeproject.org/files/ENCFF725YRX/@@download/ENCFF725YRX.bed.gz	hg19				released	s3://encode-public/2016/11/03/c36928e0-d3fa-4571-9985-4fe48c76eadf/ENCFF725YRX.bed.gz	moderate library complexity, mild to moderate bottlenecking	biological replicates with identical biosample		
ENCFF065TIH	bed narrowPeak	replicated peaks	ENCSR416AUW	ChIP-seq	UBERON:0008367	breast epithelium	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1, 2							ENCFF663KGP, ENCFF725YRX, ENCFF744CHB	1223904	ENCODE Processing Pipeline	02e26738591a00273d25b62971045210		https://www.encodeproject.org/files/ENCFF065TIH/@@download/ENCFF065TIH.bed.gz	hg19				released	s3://encode-public/2016/11/03/19b3f87f-827f-4d15-8dcc-9eab07a500cf/ENCFF065TIH.bed.gz	moderate library complexity, mild to moderate bottlenecking	biological replicates with identical biosample		
ENCFF252WLN	bed narrowPeak	peaks	ENCSR146DAL	ChIP-seq	UBERON:0003346	mucosa of rectum	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF408NPR, ENCFF785WNN	1398162	Anshul Kundaje, Stanford	15f7e33e1eaa9d3a222cbe1aef1b5cbb		https://www.encodeproject.org/files/ENCFF252WLN/@@download/ENCFF252WLN.bed.gz	hg19				archived	s3://encode-public/2016/03/09/9682b76f-677e-4d80-b8ae-f3edcf7916aa/ENCFF252WLN.bed.gz	low read length, low read depth			
ENCFF030BZG	bed narrowPeak	stable peaks	ENCSR146DAL	ChIP-seq	UBERON:0003346	mucosa of rectum	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF136SQA	996741	ENCODE Processing Pipeline	156c9783e8f94ac1a69d98a06cbf3dfe		https://www.encodeproject.org/files/ENCFF030BZG/@@download/ENCFF030BZG.bed.gz	GRCh38				released	s3://encode-public/2018/01/22/cabd36cb-7c47-4d0e-8d64-c8dae5d44ce2/ENCFF030BZG.bed.gz	low read length, low read depth			
ENCFF136SQA	bed narrowPeak	peaks	ENCSR146DAL	ChIP-seq	UBERON:0003346	mucosa of rectum	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF401AUV, ENCFF445MTY	1419123	ENCODE Processing Pipeline	b402764fa2737b4efeab74283db12427		https://www.encodeproject.org/files/ENCFF136SQA/@@download/ENCFF136SQA.bed.gz	GRCh38				released	s3://encode-public/2018/01/22/18a060c0-eded-4572-89fa-f38832d7add5/ENCFF136SQA.bed.gz	low read length, low read depth			
ENCFF580ZUX	bed narrowPeak	peaks	ENCSR146DAL	ChIP-seq	UBERON:0003346	mucosa of rectum	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF165QXZ, ENCFF561GIK	1417151	ENCODE Processing Pipeline	04c502662a3f121e687457f4d69ecc5d		https://www.encodeproject.org/files/ENCFF580ZUX/@@download/ENCFF580ZUX.bed.gz	hg19				released	s3://encode-public/2018/01/22/0da1db55-92e2-45ed-8093-7b52c6b926f4/ENCFF580ZUX.bed.gz	low read length, low read depth			
ENCFF067PQK	bed narrowPeak	stable peaks	ENCSR146DAL	ChIP-seq	UBERON:0003346	mucosa of rectum	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF580ZUX	999840	ENCODE Processing Pipeline	5975cfb1cb5a2f0fcd561fb30a330aa3		https://www.encodeproject.org/files/ENCFF067PQK/@@download/ENCFF067PQK.bed.gz	hg19				released	s3://encode-public/2018/01/22/eb458921-9eaa-4d3a-89a8-b9b526ef5436/ENCFF067PQK.bed.gz	low read length, low read depth			
ENCFF604MEV	bed narrowPeak	peaks	ENCSR532FEO	ChIP-seq	UBERON:0004222	stomach smooth muscle	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF424WNA, ENCFF648CAU	1470233	Anshul Kundaje, Stanford	68e7dab07e0eb4315ee32e61e73d7240		https://www.encodeproject.org/files/ENCFF604MEV/@@download/ENCFF604MEV.bed.gz	hg19				archived	s3://encode-public/2016/03/09/eb91de8a-c2c5-4e62-92e1-56bbde0a3b08/ENCFF604MEV.bed.gz	low read length			
ENCFF801SOS	bed narrowPeak	stable peaks	ENCSR532FEO	ChIP-seq	UBERON:0004222	stomach smooth muscle	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF888URK	1113473	ENCODE Processing Pipeline	da6f2841e52abb372a8a7618e067283b		https://www.encodeproject.org/files/ENCFF801SOS/@@download/ENCFF801SOS.bed.gz	GRCh38				released	s3://encode-public/2018/01/19/5ab95ca7-861f-49ec-ace1-b4c19b101f60/ENCFF801SOS.bed.gz	low read length			
ENCFF888URK	bed narrowPeak	peaks	ENCSR532FEO	ChIP-seq	UBERON:0004222	stomach smooth muscle	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF436YQR, ENCFF722BJU	1729136	ENCODE Processing Pipeline	93920dc117d24fdfe7b55fb72db8a395		https://www.encodeproject.org/files/ENCFF888URK/@@download/ENCFF888URK.bed.gz	GRCh38				released	s3://encode-public/2018/01/19/b1cf709b-a411-49a1-8e08-4cc91bfe27e9/ENCFF888URK.bed.gz	low read length			
ENCFF659ENO	bed narrowPeak	peaks	ENCSR532FEO	ChIP-seq	UBERON:0004222	stomach smooth muscle	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF629BUR, ENCFF836VAZ	1730275	ENCODE Processing Pipeline	9a2651e3f5a9c5566e2b6900f56bb274		https://www.encodeproject.org/files/ENCFF659ENO/@@download/ENCFF659ENO.bed.gz	hg19				released	s3://encode-public/2018/01/19/4fc3606d-8649-429a-b95b-bd6627053cac/ENCFF659ENO.bed.gz	low read length			
ENCFF596MVL	bed narrowPeak	stable peaks	ENCSR532FEO	ChIP-seq	UBERON:0004222	stomach smooth muscle	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF659ENO	1113590	ENCODE Processing Pipeline	1b4b8d7269ec93bf10c14e2fb15f603a		https://www.encodeproject.org/files/ENCFF596MVL/@@download/ENCFF596MVL.bed.gz	hg19				released	s3://encode-public/2018/01/19/d0cdb4fb-9bd4-49f2-bc34-ca2dd7a90e67/ENCFF596MVL.bed.gz	low read length			
ENCFF187ZBU	bed narrowPeak	peaks	ENCSR276BXF	ChIP-seq	UBERON:0003346	mucosa of rectum	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				2							ENCFF240RUK, ENCFF854JLG	1578397	Anshul Kundaje, Stanford	f793fb4bc0400c59b90f4a71c87f4365		https://www.encodeproject.org/files/ENCFF187ZBU/@@download/ENCFF187ZBU.bed.gz	hg19				archived	s3://encode-public/2016/03/09/300a1988-e254-4f67-8830-3b791423fec6/ENCFF187ZBU.bed.gz	low read length			
