File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Restricted	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF334ABR	fastq	reads	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1	2	36		single-ended				1323043478	Zhiping Weng, UMass	9fa49abea57874b8d446365bf2303231	SRA:SRR097562	https://www.encodeproject.org/files/ENCFF334ABR/@@download/ENCFF334ABR.fastq.gz		Illumina Genome Analyzer IIx		released		low read depth, low spot score			
ENCFF389GPO	fastq	reads	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1	2	36		single-ended				267568971	Zhiping Weng, UMass	bd6b97960e3d1b6ff80e21b7c9e97fca	SRA:SRR097561	https://www.encodeproject.org/files/ENCFF389GPO/@@download/ENCFF389GPO.fastq.gz		Illumina Genome Analyzer IIx		released		low read depth, low spot score			
ENCFF052JUQ	bam	unfiltered alignments	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF334ABR, ENCFF389GPO, ENCFF549HLL	1914335574	ENCODE Processing Pipeline	8f2ae4bd4277e5ce2fef41d5c71aa7dc		https://www.encodeproject.org/files/ENCFF052JUQ/@@download/ENCFF052JUQ.bam	hg19			archived		low read depth, low spot score			
ENCFF108FOX	bam	alignments	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF052JUQ	1620144548	ENCODE Processing Pipeline	40ff8665f6f5e83a267a64e47c2102d8		https://www.encodeproject.org/files/ENCFF108FOX/@@download/ENCFF108FOX.bam	hg19			archived		low read depth, low spot score			
ENCFF787HVY	bed broadPeak	hotspots	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF108FOX, ENCFF163ZHO	899142	ENCODE Processing Pipeline	5ad7ebe81ee1d04af78aece5a350eea1		https://www.encodeproject.org/files/ENCFF787HVY/@@download/ENCFF787HVY.bed.gz	hg19			archived		low read depth, low spot score			
ENCFF143MFN	bed narrowPeak	peaks	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF108FOX, ENCFF163ZHO	674768	ENCODE Processing Pipeline	889cc2e61239145631d1387a4ca4edf9		https://www.encodeproject.org/files/ENCFF143MFN/@@download/ENCFF143MFN.bed.gz	hg19			archived		low read depth, low spot score			
ENCFF480GNT	bam	unfiltered alignments	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF334ABR, ENCFF389GPO, ENCFF496RSW	1924049208	ENCODE Processing Pipeline	41d7910e27061de367883991527721db		https://www.encodeproject.org/files/ENCFF480GNT/@@download/ENCFF480GNT.bam	GRCh38			released		low read depth, low spot score			
ENCFF433AGA	bigBed narrowPeak	peaks	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF108FOX, ENCFF163ZHO	956791	ENCODE Processing Pipeline	49b9afb272f492493a426ddb384423b4		https://www.encodeproject.org/files/ENCFF433AGA/@@download/ENCFF433AGA.bigBed	hg19			archived		low read depth, low spot score			
ENCFF443NUD	bam	alignments	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF480GNT	1613237032	ENCODE Processing Pipeline	b15ac2b96f5fad3445d2ea2d42b7b1ab		https://www.encodeproject.org/files/ENCFF443NUD/@@download/ENCFF443NUD.bam	GRCh38			archived		low read depth, low spot score			
ENCFF643LKB	bigBed broadPeak	hotspots	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF108FOX, ENCFF163ZHO	1303874	ENCODE Processing Pipeline	5c660a75de264614ac601fbf9ca1bab2		https://www.encodeproject.org/files/ENCFF643LKB/@@download/ENCFF643LKB.bigBed	hg19			archived		low read depth, low spot score			
ENCFF348AXI	bed broadPeak	hotspots	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF443NUD, ENCFF992CZQ	903440	ENCODE Processing Pipeline	d76f42c9aceba86a08011ae694261463		https://www.encodeproject.org/files/ENCFF348AXI/@@download/ENCFF348AXI.bed.gz	GRCh38			archived		low read depth, low spot score			
ENCFF077UJK	bed narrowPeak	peaks	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF443NUD, ENCFF992CZQ	678185	ENCODE Processing Pipeline	bad52a55e5ee695c5af0c270217a746d		https://www.encodeproject.org/files/ENCFF077UJK/@@download/ENCFF077UJK.bed.gz	GRCh38			archived		low read depth, low spot score			
ENCFF645VPW	bigBed broadPeak	hotspots	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF443NUD, ENCFF992CZQ	1315306	ENCODE Processing Pipeline	517fb83f01845974f01d985a41d849ff		https://www.encodeproject.org/files/ENCFF645VPW/@@download/ENCFF645VPW.bigBed	GRCh38			archived		low read depth, low spot score			
ENCFF795IEI	bigBed narrowPeak	peaks	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF443NUD, ENCFF992CZQ	968356	ENCODE Processing Pipeline	d0e03eb3d048a50f7fca76c6107c4903		https://www.encodeproject.org/files/ENCFF795IEI/@@download/ENCFF795IEI.bigBed	GRCh38			archived		low read depth, low spot score			
ENCFF434XSW	bam	alignments	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF480GNT	1600589906	ENCODE Processing Pipeline	69c5455598b680c11a2eb1993847cb72		https://www.encodeproject.org/files/ENCFF434XSW/@@download/ENCFF434XSW.bam	GRCh38			released		low read depth, low spot score			
ENCFF712OII	bigWig	read-depth normalized signal	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF434XSW	598027030	ENCODE Processing Pipeline	f046604dc71d86bb987b251f2c11ccc7		https://www.encodeproject.org/files/ENCFF712OII/@@download/ENCFF712OII.bigWig	GRCh38			released		low read depth, low spot score			
ENCFF242WKC	bed broadPeak	hotspots	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF434XSW, ENCFF967OQF	1004723	ENCODE Processing Pipeline	8bbde109cc976099339d6d506ff44d5b		https://www.encodeproject.org/files/ENCFF242WKC/@@download/ENCFF242WKC.bed.gz	GRCh38			archived		low read depth, low spot score			
ENCFF853GQY	bed narrowPeak	peaks	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF434XSW, ENCFF967OQF	718564	ENCODE Processing Pipeline	a21f5273a781635c861060c57080b67a		https://www.encodeproject.org/files/ENCFF853GQY/@@download/ENCFF853GQY.bed.gz	GRCh38			archived		low read depth, low spot score			
ENCFF360EQL	bigBed narrowPeak	peaks	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF434XSW, ENCFF967OQF	958294	ENCODE Processing Pipeline	a17e63f3ca4e6f0d1d12db87225f63bc		https://www.encodeproject.org/files/ENCFF360EQL/@@download/ENCFF360EQL.bigBed	GRCh38			archived		low read depth, low spot score			
ENCFF551LJF	bigBed broadPeak	hotspots	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF434XSW, ENCFF967OQF	1482801	ENCODE Processing Pipeline	d85fbed025d18e42098c0d65dea8a8b2		https://www.encodeproject.org/files/ENCFF551LJF/@@download/ENCFF551LJF.bigBed	GRCh38			archived		low read depth, low spot score			
ENCFF196UJV	bam	unfiltered alignments	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF334ABR, ENCFF389GPO, ENCFF549HLL	1914325353	ENCODE Processing Pipeline	f742f7012bf470ba89b617a24f1d85d6		https://www.encodeproject.org/files/ENCFF196UJV/@@download/ENCFF196UJV.bam	hg19			released		low read depth, low spot score			
ENCFF008KZY	bam	alignments	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF196UJV	1606885264	ENCODE Processing Pipeline	8f0d284789633e506132c409ee080fae		https://www.encodeproject.org/files/ENCFF008KZY/@@download/ENCFF008KZY.bam	hg19			released		low read depth, low spot score			
ENCFF263FHY	bigWig	read-depth normalized signal	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF008KZY	600817549	ENCODE Processing Pipeline	9e6f8f0618e67bb9ca330c1d236bcae9		https://www.encodeproject.org/files/ENCFF263FHY/@@download/ENCFF263FHY.bigWig	hg19			released		low read depth, low spot score			
ENCFF942NCG	bed broadPeak	hotspots	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF008KZY, ENCFF390DNP	1003105	ENCODE Processing Pipeline	843684e68a18cdbe93a188502c3b74d3		https://www.encodeproject.org/files/ENCFF942NCG/@@download/ENCFF942NCG.bed.gz	hg19			archived		low read depth, low spot score			
ENCFF365FGD	bed narrowPeak	peaks	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF008KZY, ENCFF390DNP	717887	ENCODE Processing Pipeline	4e8dcea9d4d91205dc9105f175728863		https://www.encodeproject.org/files/ENCFF365FGD/@@download/ENCFF365FGD.bed.gz	hg19			archived		low read depth, low spot score			
ENCFF073WTP	bigBed narrowPeak	peaks	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF008KZY, ENCFF390DNP	951719	ENCODE Processing Pipeline	03d18dbfda13369a374880bec65259a0		https://www.encodeproject.org/files/ENCFF073WTP/@@download/ENCFF073WTP.bigBed	hg19			archived		low read depth, low spot score			
ENCFF986LTH	bigBed broadPeak	hotspots	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF008KZY, ENCFF390DNP	1474117	ENCODE Processing Pipeline	a018df70d5f5733e315092d03d9c2529		https://www.encodeproject.org/files/ENCFF986LTH/@@download/ENCFF986LTH.bigBed	hg19			archived		low read depth, low spot score			
ENCFF105CDU	bed bed3+	enrichment	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF339EUH, ENCFF967OQF	82510997	ENCODE Processing Pipeline	417bb13b2207414d201d724a7f97a879		https://www.encodeproject.org/files/ENCFF105CDU/@@download/ENCFF105CDU.bed.gz	GRCh38			released		low read depth, low spot score			
ENCFF023JZZ	bed broadPeak	hotspots	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF339EUH, ENCFF967OQF	1010416	ENCODE Processing Pipeline	bd46cf47f84bfb36402b9fc26f4c0cef		https://www.encodeproject.org/files/ENCFF023JZZ/@@download/ENCFF023JZZ.bed.gz	GRCh38			released		low read depth, low spot score			
ENCFF603QCZ	bed narrowPeak	peaks	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF339EUH, ENCFF967OQF	741720	ENCODE Processing Pipeline	1dfc138d29ba4ca55b32a186c8d66331		https://www.encodeproject.org/files/ENCFF603QCZ/@@download/ENCFF603QCZ.bed.gz	GRCh38			released		low read depth, low spot score			
ENCFF196DRI	bigBed narrowPeak	peaks	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF339EUH, ENCFF967OQF	979126	ENCODE Processing Pipeline	379da7436d0ebf6dbd0cf70730db805e		https://www.encodeproject.org/files/ENCFF196DRI/@@download/ENCFF196DRI.bigBed	GRCh38			released		low read depth, low spot score			
ENCFF669ZMZ	bigBed broadPeak	hotspots	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF339EUH, ENCFF967OQF	1463471	ENCODE Processing Pipeline	29f2415ef453c0404a68c64e971a78be		https://www.encodeproject.org/files/ENCFF669ZMZ/@@download/ENCFF669ZMZ.bigBed	GRCh38			released		low read depth, low spot score			
ENCFF827DET	bed bed3+	enrichment	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF428UEN	82514695	ENCODE Processing Pipeline	46b0dc2f68c466103db1b2cdb5588747		https://www.encodeproject.org/files/ENCFF827DET/@@download/ENCFF827DET.bed.gz	hg19			released		low read depth, low spot score			
ENCFF883BAQ	bed broadPeak	hotspots	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF428UEN	1011079	ENCODE Processing Pipeline	aaad97634f10cf87499f6f3c8b659a8e		https://www.encodeproject.org/files/ENCFF883BAQ/@@download/ENCFF883BAQ.bed.gz	hg19			released		low read depth, low spot score			
ENCFF629LQR	bed narrowPeak	peaks	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF428UEN	741740	ENCODE Processing Pipeline	f629310f54949ae7b3fe1e75cd713b7b		https://www.encodeproject.org/files/ENCFF629LQR/@@download/ENCFF629LQR.bed.gz	hg19			released		low read depth, low spot score			
ENCFF103PZQ	bigBed narrowPeak	peaks	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF428UEN	977494	ENCODE Processing Pipeline	f1f94b3d28e63411483ac9525215ef1d		https://www.encodeproject.org/files/ENCFF103PZQ/@@download/ENCFF103PZQ.bigBed	hg19			released		low read depth, low spot score			
ENCFF831FVK	bigBed broadPeak	hotspots	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF428UEN	1460774	ENCODE Processing Pipeline	716db9a7159be034d92f82e67c8b8aae		https://www.encodeproject.org/files/ENCFF831FVK/@@download/ENCFF831FVK.bigBed	hg19			released		low read depth, low spot score			
ENCFF048UBW	fastq	reads	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1	2	36		single-ended				607592077	Zhiping Weng, UMass	37ad0a745668f1a7756a56a13e414535	SRA:SRR352595	https://www.encodeproject.org/files/ENCFF048UBW/@@download/ENCFF048UBW.fastq.gz		Illumina HiSeq 2000		released		low read depth, low spot score			
ENCFF467BCS	fastq	reads	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1	2	36		single-ended				878759241	Zhiping Weng, UMass	e23fd8c9bc09a05c3e232c06f2022446	SRA:SRR352596	https://www.encodeproject.org/files/ENCFF467BCS/@@download/ENCFF467BCS.fastq.gz		Illumina HiSeq 2000		released		low read depth, low spot score			
ENCFF155FVD	bam	unfiltered alignments	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF048UBW, ENCFF467BCS, ENCFF496RSW	1828812775	ENCODE Processing Pipeline	8e916539212f62845f5d69a7d2013179		https://www.encodeproject.org/files/ENCFF155FVD/@@download/ENCFF155FVD.bam	GRCh38			released		low read depth, low spot score			
ENCFF738WCM	bam	unfiltered alignments	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF048UBW, ENCFF467BCS, ENCFF549HLL	1819794869	ENCODE Processing Pipeline	5a6e0926e2e24659947987a6e6f5bc57		https://www.encodeproject.org/files/ENCFF738WCM/@@download/ENCFF738WCM.bam	hg19			archived		low read depth, low spot score			
ENCFF658APQ	bam	alignments	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF155FVD	1557896706	ENCODE Processing Pipeline	2ccd39b2ba80e2a79a816080add94329		https://www.encodeproject.org/files/ENCFF658APQ/@@download/ENCFF658APQ.bam	GRCh38			archived		low read depth, low spot score			
ENCFF484HLD	bam	alignments	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF738WCM	1563674506	ENCODE Processing Pipeline	9db9e374dcf7e5f1307472a7412a302e		https://www.encodeproject.org/files/ENCFF484HLD/@@download/ENCFF484HLD.bam	hg19			archived		low read depth, low spot score			
ENCFF789DDQ	bed broadPeak	hotspots	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF658APQ, ENCFF992CZQ	902504	ENCODE Processing Pipeline	9deee6ad3d7ea4ad72282df9d2330907		https://www.encodeproject.org/files/ENCFF789DDQ/@@download/ENCFF789DDQ.bed.gz	GRCh38			archived		low read depth, low spot score			
ENCFF456NFP	bed narrowPeak	peaks	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF658APQ, ENCFF992CZQ	703380	ENCODE Processing Pipeline	ef79cd286f7e3472b6c37bafe5588d0e		https://www.encodeproject.org/files/ENCFF456NFP/@@download/ENCFF456NFP.bed.gz	GRCh38			archived		low read depth, low spot score			
ENCFF812BQU	bed broadPeak	hotspots	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF484HLD	899185	ENCODE Processing Pipeline	95774166b1c031bdc09e9626f73bf606		https://www.encodeproject.org/files/ENCFF812BQU/@@download/ENCFF812BQU.bed.gz	hg19			archived		low read depth, low spot score			
ENCFF200RYP	bed narrowPeak	peaks	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF484HLD	700152	ENCODE Processing Pipeline	d9105366993b0d362aaa8eaa6d6d22c8		https://www.encodeproject.org/files/ENCFF200RYP/@@download/ENCFF200RYP.bed.gz	hg19			archived		low read depth, low spot score			
ENCFF664LNT	bigBed narrowPeak	peaks	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF658APQ, ENCFF992CZQ	996039	ENCODE Processing Pipeline	98ac014e1247c68dafe316ebee62953f		https://www.encodeproject.org/files/ENCFF664LNT/@@download/ENCFF664LNT.bigBed	GRCh38			archived		low read depth, low spot score			
ENCFF961WLH	bigBed broadPeak	hotspots	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF658APQ, ENCFF992CZQ	1290948	ENCODE Processing Pipeline	7a8ba1db55352793efeec30fd3106208		https://www.encodeproject.org/files/ENCFF961WLH/@@download/ENCFF961WLH.bigBed	GRCh38			archived		low read depth, low spot score			
ENCFF359GEG	bigBed narrowPeak	peaks	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF484HLD	984934	ENCODE Processing Pipeline	a614b7d4e054da7941172b9a59974ff6		https://www.encodeproject.org/files/ENCFF359GEG/@@download/ENCFF359GEG.bigBed	hg19			archived		low read depth, low spot score			
ENCFF328JQC	bigBed broadPeak	hotspots	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF484HLD	1279605	ENCODE Processing Pipeline	87efcd22298e26b40c8fac616a93085d		https://www.encodeproject.org/files/ENCFF328JQC/@@download/ENCFF328JQC.bigBed	hg19			archived		low read depth, low spot score			
ENCFF339EUH	bam	alignments	ENCSR184DFF	DNase-seq	UBERON:0004538	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF155FVD	1545220279	ENCODE Processing Pipeline	754748016728e2beaaa473b0cfe25d8a		https://www.encodeproject.org/files/ENCFF339EUH/@@download/ENCFF339EUH.bam	GRCh38			released		low read depth, low spot score			
